pixel_x,pixel_y,size,bw,bh,fill,cls
455.8,55.1,22,7,10,0.31,0
442.0,55.2,32,9,9,0.4,0
394.5,77.0,36,10,9,0.4,0
82.0,77.4,55,9,8,0.76,1
186.4,77.4,54,8,8,0.84,1
255.6,77.4,54,8,8,0.84,1
325.3,77.4,54,8,8,0.84,1
394.4,137.4,51,10,10,0.51,0
429.3,137.4,44,10,10,0.44,0
498.5,137.5,48,10,10,0.48,0
533.4,137.5,47,10,10,0.47,0
82.3,137.6,55,8,8,0.86,1
186.4,137.6,54,8,8,0.84,1
255.6,137.6,54,8,8,0.84,1
325.4,137.6,54,8,8,0.84,1
484.3,137.8,54,10,12,0.45,0
394.3,197.7,44,10,10,0.44,0
498.3,197.7,43,10,10,0.43,0
533.3,197.7,43,10,10,0.43,0
429.0,197.8,47,9,10,0.52,0
255.5,198.1,54,8,8,0.84,1
82.1,198.2,55,9,9,0.68,1
186.3,198.2,53,8,9,0.74,1
325.2,198.2,54,9,9,0.67,1
256.0,258.0,49,11,10,0.45,0
394.3,258.0,40,10,9,0.44,0
324.9,258.1,48,10,10,0.48,0
533.1,258.1,50,12,10,0.42,0
81.6,258.3,53,8,8,0.83,1
186.2,258.3,55,8,9,0.76,1
429.0,259.0,45,9,9,0.56,0
498.3,259.1,48,10,10,0.48,0
395.0,478.6,54,9,8,0.75,1
82.4,478.7,53,8,8,0.83,1
185.6,478.8,45,10,10,0.45,0
256.0,478.8,47,9,10,0.52,0
498.6,478.9,37,10,9,0.41,0
429.3,479.7,43,10,10,0.43,0
256.0,512.2,47,9,10,0.52,0
325.0,512.2,47,9,10,0.52,0
533.3,512.2,43,10,10,0.43,0
394.7,512.3,44,10,10,0.44,0
82.0,512.4,54,9,8,0.75,1
429.2,513.1,47,10,10,0.47,0
