fig,panel,overhang,feed,n,ap,actual,a_lim_M0,pred_M0,a_lim_ae1,pred_ae1,margin_ae1,a_lim_ae2,pred_ae2,margin_ae2,a_lim_ae4,pred_ae4,margin_ae4
Fig15,top,65,x,11970.0,1.1,chatter,20.0,stable,0.1026963279151315,chatter,9.711191162638675,0.1,chatter,10.0,0.1,chatter,10.0
Fig15,top,65,x,15970.0,1.1,chatter,20.0,stable,0.10337282310733321,chatter,9.641094699115039,0.1,chatter,10.0,0.1,chatter,10.0
Fig15,top,65,x,17960.0,1.1,chatter,20.0,stable,0.24676192256478158,chatter,3.457738003363225,0.22208573030830342,chatter,3.9530422259591385,0.18507144192358618,chatter,4.943650671150967
Fig15,top,65,x,2990.0,1.1,chatter,2.261890008492979,stable,0.11931887028484829,chatter,8.218994425391267,0.10738698325636346,chatter,9.24332713932363,0.1,chatter,10.0
Fig15,top,65,x,7980.0,1.1,chatter,17.576002570577273,stable,0.1026963279151315,chatter,9.711191162638675,0.1,chatter,10.0,0.1,chatter,10.0
Fig15,top,65,x,4750.0,0.3,chatter,6.072786319437175,stable,0.1,chatter,1.9999999999999998,0.1,chatter,1.9999999999999998,0.1,chatter,1.9999999999999998
Fig15,top,65,x,2990.0,0.3,chatter,2.261890008492979,stable,0.11931887028484829,chatter,1.5142712069248907,0.10738698325636346,chatter,1.7936346743609894,0.1,chatter,1.9999999999999998
Fig15,top,65,x,5970.0,0.3,chatter,9.731607692369192,stable,0.10002247979818474,chatter,1.9993257576227834,0.1,chatter,1.9999999999999998,0.1,chatter,1.9999999999999998
Fig15,top,65,x,6970.0,0.3,chatter,13.351728186422054,stable,0.1184608443216773,chatter,1.5324823718574712,0.10661475988950957,chatter,1.813869302063857,0.1,chatter,1.9999999999999998
Fig15,top,65,x,7980.0,0.3,chatter,17.576002570577273,stable,0.1026963279151315,chatter,1.9212339534469112,0.1,chatter,1.9999999999999998,0.1,chatter,1.9999999999999998
Fig15,top,65,x,9960.0,0.3,chatter,20.0,stable,0.13199198358272143,chatter,1.2728653048234957,0.11879278522444928,chatter,1.5254058942483288,0.1,chatter,1.9999999999999998
Fig15,top,65,x,11970.0,0.3,chatter,20.0,stable,0.1026963279151315,chatter,1.9212339534469112,0.1,chatter,1.9999999999999998,0.1,chatter,1.9999999999999998
Fig15,top,65,x,15970.0,0.3,chatter,20.0,stable,0.10337282310733321,chatter,1.9021167361222833,0.1,chatter,1.9999999999999998,0.1,chatter,1.9999999999999998
Fig15,top,65,x,17960.0,0.3,chatter,20.0,stable,0.24676192256478158,chatter,0.21574672818997023,0.22208573030830342,chatter,0.3508296979888558,0.18507144192358618,chatter,0.620995637586627
Fig18,bot,65,y,2990.0,0.2,stable,2.261890008492979,stable,0.16998969581732365,chatter,0.17654190178048434,0.1529907262355913,chatter,0.3072687797560937,0.12749227186299275,chatter,0.5687225357073122
Fig18,bot,65,y,4750.0,0.2,stable,6.072786319437175,stable,0.1,chatter,1.0,0.1,chatter,1.0,0.1,chatter,1.0
Fig18,bot,65,y,6000.0,0.2,stable,9.832070083413905,stable,0.11301330442401808,chatter,0.7697031426460541,0.10171197398161629,chatter,0.9663368251622821,0.1,chatter,1.0
Fig18,bot,65,y,6990.0,0.2,stable,13.429837830607685,stable,0.13741390591848138,chatter,0.4554567724655672,0.12367251532663324,chatter,0.6171741916284079,0.10306042943886104,chatter,0.9406090299540895
Fig18,bot,65,y,17980.0,0.2,stable,20.0,stable,0.2813083770263175,stable,0.2890364584440042,0.25317753932368575,stable,0.2100405093822269,0.2109812827697381,stable,0.052048611258672176
Fig18,bot,65,y,4750.0,0.1,stable,6.072786319437175,stable,0.1,chatter,0.0,0.1,chatter,0.0,0.1,chatter,0.0
Fig18,bot,65,y,6990.0,0.1,stable,13.429837830607685,stable,0.13741390591848138,stable,0.27227161376721637,0.12367251532663324,stable,0.191412904185796,0.10306042943886104,stable,0.02969548502295525
Fig18,bot,65,y,9990.0,0.1,stable,20.0,stable,0.1651852551624018,stable,0.39461909053756,0.14866672964616162,stable,0.3273545450417334,0.12388894137180134,stable,0.19282545405008
Fig18,bot,65,y,17970.0,0.1,stable,20.0,stable,0.28039613674285346,stable,0.643361705472753,0.25235652306856815,stable,0.6037352283030589,0.2102971025571401,stable,0.5244822739636706
Fig18,bot,65,y,8010.0,0.2,chatter,17.71020473399738,stable,0.11455566672791496,chatter,0.7458760942400761,0.10310010005512345,chatter,0.9398623269334182,0.1,chatter,1.0
Fig18,bot,65,y,10000.0,0.2,chatter,20.0,stable,0.166569789000974,chatter,0.20069792487298244,0.1499128101008766,chatter,0.33410880541442495,0.12492734175073049,chatter,0.60093056649731
Fig18,bot,65,y,11990.0,0.2,chatter,20.0,stable,0.11198782203824782,chatter,0.7859084707593733,0.10078903983442304,chatter,0.9843427452881925,0.1,chatter,1.0
Fig18,bot,65,y,15990.0,0.2,chatter,20.0,stable,0.11224398296333409,chatter,0.7818327069285534,0.10101958466700067,chatter,0.979814118809504,0.1,chatter,1.0
Fig18,bot,65,y,5990.0,0.1,chatter,9.798526666122264,stable,0.110964592929081,stable,0.0988116356727286,0.1,chatter,0.0,0.1,chatter,0.0
Fig18,bot,65,y,2990.0,0.1,chatter,2.261890008492979,stable,0.16998969581732365,stable,0.4117290491097578,0.1529907262355913,stable,0.34636561012195316,0.12749227186299275,stable,0.21563873214634385
Fig18,bot,65,y,7990.0,0.1,chatter,17.62068067211949,stable,0.11147592328775535,stable,0.10294530827192418,0.10032833095897983,stable,0.0032725647465825874,0.1,chatter,0.0
Fig18,bot,65,y,11990.0,0.1,chatter,20.0,stable,0.11198782203824782,stable,0.10704576462031336,0.10078903983442304,stable,0.00782862735590374,0.1,chatter,0.0
Fig18,bot,65,y,15990.0,0.1,chatter,20.0,stable,0.11224398296333409,stable,0.10908364653572326,0.10101958466700067,stable,0.010092940595248035,0.1,chatter,0.0
Fig18,top,65,y,2990.0,0.3,stable,2.261890008492979,stable,0.16998969581732365,chatter,0.7648128526707263,0.1529907262355913,chatter,0.9609031696341404,0.12749227186299275,chatter,1.3530838035609682
Fig18,top,65,y,2990.0,3.2,chatter,2.261890008492979,chatter,0.16998969581732365,chatter,17.82467042848775,0.1529907262355913,chatter,19.9163004760975,0.12749227186299275,chatter,24.099560571316996
Fig18,top,65,y,4760.0,3.2,chatter,6.099391410516809,stable,0.1,chatter,31.0,0.1,chatter,31.0,0.1,chatter,31.0
Fig18,top,65,y,5990.0,3.2,chatter,9.798526666122264,stable,0.110964592929081,chatter,27.838027658472683,0.1,chatter,31.0,0.1,chatter,31.0
Fig18,top,65,y,7000.0,3.2,chatter,13.468976582424666,stable,0.13928898309745316,chatter,21.973819815750456,0.12536008478770783,chatter,24.52646646194496,0.10446673732308986,chatter,29.631759754333945
Fig18,top,65,y,7990.0,3.2,chatter,17.62068067211949,stable,0.11147592328775535,chatter,27.705750135298427,0.10032833095897983,chatter,30.895277928109355,0.1,chatter,31.0
Fig18,top,65,y,9980.0,3.2,chatter,20.0,stable,0.16380276698346877,chatter,18.535689530341994,0.1474224902851219,chatter,20.706321700379995,0.12285207523760155,chatter,25.047586040455997
Fig18,top,65,y,2990.0,2.0,chatter,2.261890008492979,stable,0.16998969581732365,chatter,10.765419017804842,0.1529907262355913,chatter,12.072687797560937,0.12749227186299275,chatter,14.687225357073123
Fig18,top,65,y,4760.0,2.0,chatter,6.099391410516809,stable,0.1,chatter,18.999999999999996,0.1,chatter,18.999999999999996,0.1,chatter,18.999999999999996
Fig18,top,65,y,5990.0,2.0,chatter,9.798526666122264,stable,0.110964592929081,chatter,17.023767286545425,0.1,chatter,18.999999999999996,0.1,chatter,18.999999999999996
Fig18,top,65,y,6990.0,2.0,chatter,13.429837830607685,stable,0.13741390591848138,chatter,13.554567724655671,0.12367251532663324,chatter,15.171741916284079,0.10306042943886104,chatter,18.406090299540892
Fig18,top,65,y,9960.0,2.0,chatter,20.0,stable,0.16104399177300283,chatter,11.418966879677637,0.14493959259570252,chatter,12.79885208853071,0.12078299382975212,chatter,15.55862250623685
