Config,Description,Status,mae,mape,pcc,phys_mae,phys_within_threshold,r2,rmse,Elapsed(s)
Full,完整 DL-LNN（LTC + 物理分支 + 自适应门控 + 两阶段 + L_data + L_phys + L_pcc）,completed,0.2338,4.1287,0.9672,0.1050,0.2480,0.9982,0.3222,6780.4
A1,去除 L_phys（λ₂=0，仅 L_data + L_pcc）,completed,0.2480,5.4215,0.9537,0.1297,0.1947,0.9981,0.3376,7096.8
A2,去除 L_pcc（λ₃=0，等价于 PINN，L_data + L_phys）,completed,0.2258,4.2500,0.9673,0.0781,0.3587,0.9983,0.3140,7236.3
A3,去除两阶段训练（单阶段 300 epochs，从头用完整损失训练）,completed,0.2439,4.6139,0.9624,0.1129,0.2327,0.9982,0.3256,6897.3
