scenario,dT_C,valley_a_lim_mm,rel_change_vs_baseline
engineering_k5e7,0.0,3.5000106947890326,0.0
engineering_k5e7,100.0,3.8889007719878137,0.11111111111111102
engineering_k5e7,200.0,4.37501336848629,0.24999999999999992
engineering_k5e7,300.0,5.0000152782700455,0.42857142857142827
engineering_k5e7,400.0,5.833351157981721,0.6666666666666667
engineering_k5e7,500.0,7.000021389578065,1.0
paper_baseline_k1e6,0.0,0.07018093709801433,0.0
paper_baseline_k1e6,100.0,0.0779788189977937,0.11111111111111109
paper_baseline_k1e6,200.0,0.08772617137251791,0.24999999999999994
paper_baseline_k1e6,300.0,0.10025848156859192,0.4285714285714288
paper_baseline_k1e6,400.0,0.11696822849669056,0.6666666666666667
paper_baseline_k1e6,500.0,0.14036187419602866,1.0
