n,f,ap,ae,H,D,z,chatter_label
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.00864841315762908
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.007503067149938869
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0006758515401839901
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0011017461638893116
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.004911664448974439
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0010921052574538325
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.002344078195649658
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.005084469892070982
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.006643189042705804
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0063167848156376475
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.005645407755216438
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.00616959313320228
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.004735400866440391
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.004109755744752251
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.006421249826397947
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.006453124997199553
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.005295618156604446
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0004422720444779525
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.00031108037316613166
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.004441097501489313
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0029135930651173034
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0039017188932602372
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.004067249931955429
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.002391651794345723
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.002707391391549193
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0018780583931948746
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0020582098696432295
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0021583079175397915
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0019793961293871317
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.001665000649031386
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0027880747338312134
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0026256590235701517
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0033708584279249364
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.004169327560497182
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.004141547788638549
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0037644219968368618
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.004913458962954832
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.006044878046005178
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.004939252662247868
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.005196848252677194
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.0060196160384325785
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.007020176633799211
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.006948668710006373
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.007988431159145281
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.007585042797352429
0.4,0.20000000298023224,0.5,1.0,0.18334999084472656,0.5,0.6666666666666666,0.009159163325259964
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.017347645497467735
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.012813924858552326
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.010315929817135128
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.011611290561910131
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.011347386473713191
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.01253046409005516
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.00852474021495074
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.01095285433093331
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.012592469600031356
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.01673323412434344
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.010606746030679464
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.009424807692684518
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.010904378753424693
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.015214332305349703
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.009991830171318477
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.010599079318844082
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.012158343042236083
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.013096129451270512
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.0105673282321672
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.009940690996890364
0.4,0.20000000298023224,1.0,1.0,0.2,0.5,0.6666666666666666,0.010410058814909813
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.012718421633631013
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.011551591931373955
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.009107787048987586
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.009040301583092599
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.010975340213716333
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.00978466994490814
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.009838350526233426
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.010183012200515616
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.011658623506173006
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.010607224121921614
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.010358832880030111
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.01081518527602563
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.012169685805382547
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.01156279903449921
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.012929870088064949
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.01423615264719687
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.012426897523943195
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.01516484571772842
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.013831069793083293
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.012788944318424963
0.4,0.20000000298023224,1.0,1.0,0.19665000915527345,0.5,0.6666666666666666,0.014250626168162571
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.09001800685614977
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.03700337538577244
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.019972381589359593
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.01869518113576486
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.02067226858781199
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.020631689077120086
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.012181528051720176
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.03818642212160348
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.01399421630284597
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.01016963915523504
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.012869501845106627
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.01511458487241677
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.017024681702296682
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.018682281405310433
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.0373959485978367
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.02383048588888337
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.01590965957851497
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.01990812262660516
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.016029090622692626
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.031687891562935444
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.015289305834645417
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.012691123295923664
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.014140585010960183
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.01033414693560433
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.012965789135781223
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.009266061668426358
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.03628101910728188
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.006284908801423737
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.0108634802960557
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.014497545432405213
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.012936891355383458
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.011167638318909868
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.012333350361107207
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.034743168051145926
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.022430470536959252
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.01654503030435224
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.016216484050019932
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.016795957752776865
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.01818701370191062
0.4,0.20000000298023224,1.0,0.5625,0.20165000915527342,0.5,0.6666666666666666,0.018499045411721763
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.009351315578240696
